timestamp,puzzleId,chunkIndex,rangeStart,rangeEnd,source,status
2026-09-15T02:41:47.574Z,puzzle_btc_71,1,,,Colab Node (wrk_b99b00091314a9990095922d548a6496),PRUNED_SCANNED
2026-09-15T02:41:47.586Z,puzzle_btc_71,1,,,Pool Externa,PRUNED_SCANNED
2026-09-15T02:41:47.586Z,puzzle_btc_71,2,,,Pool Externa,PRUNED_SCANNED
2026-09-15T02:41:47.586Z,puzzle_btc_71,3,,,Pool Externa,PRUNED_SCANNED
2026-09-15T02:41:47.586Z,puzzle_btc_71,4,,,Pool Externa,PRUNED_SCANNED
2026-09-15T02:41:47.586Z,puzzle_btc_71,5,,,Pool Externa,PRUNED_SCANNED
2026-09-15T02:41:47.586Z,puzzle_btc_71,6,,,Pool Externa,PRUNED_SCANNED
2026-09-15T02:41:47.586Z,puzzle_btc_71,7,,,Pool Externa,PRUNED_SCANNED
2026-09-15T02:41:47.586Z,puzzle_btc_71,8,,,Pool Externa,PRUNED_SCANNED
2026-09-15T02:41:47.586Z,puzzle_btc_71,9,,,Pool Externa,PRUNED_SCANNED
2026-09-15T02:41:47.586Z,puzzle_btc_71,10,,,Pool Externa,PRUNED_SCANNED
2026-09-15T02:41:48.254Z,puzzle_btc_71,1001,,,Colab Node Test,PRUNED_SCANNED
2026-09-15T02:41:48.254Z,puzzle_btc_71,1002,,,Colab Node Test,PRUNED_SCANNED
2026-09-15T02:41:48.254Z,puzzle_btc_71,1003,,,Colab Node Test,PRUNED_SCANNED
2026-09-15T02:41:48.254Z,puzzle_btc_71,1004,,,Colab Node Test,PRUNED_SCANNED
2026-09-15T02:41:48.254Z,puzzle_btc_71,1005,,,Colab Node Test,PRUNED_SCANNED
2026-09-15T04:02:55.663Z,BTC,BTC_1000_P71,0,400000000000000000,4010624dd2f1a9fbe6,Colab Node (wrk_0164f112008b151ce6e1397189181d3b),PRUNED_SCANNED
2026-09-15T04:02:58.130Z,BTC,BTC_1000_P71,1,4010624dd2f1a9fbe7,4020c49ba5e353f7cd,Colab Node (wrk_0164f112008b151ce6e1397189181d3b),PRUNED_SCANNED
2026-09-15T04:02:58.140Z,BTC,puzzle_btc_71,1,,,Pool Externa,PRUNED_SCANNED
2026-09-15T04:02:58.140Z,BTC,puzzle_btc_71,2,,,Pool Externa,PRUNED_SCANNED
2026-09-15T04:02:58.140Z,BTC,puzzle_btc_71,3,,,Pool Externa,PRUNED_SCANNED
2026-09-15T04:02:58.140Z,BTC,puzzle_btc_71,4,,,Pool Externa,PRUNED_SCANNED
2026-09-15T04:02:58.140Z,BTC,puzzle_btc_71,5,,,Pool Externa,PRUNED_SCANNED
2026-09-15T04:02:58.140Z,BTC,puzzle_btc_71,6,,,Pool Externa,PRUNED_SCANNED
2026-09-15T04:02:58.140Z,BTC,puzzle_btc_71,7,,,Pool Externa,PRUNED_SCANNED
2026-09-15T04:02:58.140Z,BTC,puzzle_btc_71,8,,,Pool Externa,PRUNED_SCANNED
2026-09-15T04:02:58.140Z,BTC,puzzle_btc_71,9,,,Pool Externa,PRUNED_SCANNED
2026-09-15T04:02:58.140Z,BTC,puzzle_btc_71,10,,,Pool Externa,PRUNED_SCANNED
2026-09-15T04:02:58.930Z,BTC,puzzle_btc_71,1001,,,Colab Node Test,PRUNED_SCANNED
2026-09-15T04:02:58.930Z,BTC,puzzle_btc_71,1002,,,Colab Node Test,PRUNED_SCANNED
2026-09-15T04:02:58.930Z,BTC,puzzle_btc_71,1003,,,Colab Node Test,PRUNED_SCANNED
2026-09-15T04:02:58.930Z,BTC,puzzle_btc_71,1004,,,Colab Node Test,PRUNED_SCANNED
2026-09-15T04:02:58.930Z,BTC,puzzle_btc_71,1005,,,Colab Node Test,PRUNED_SCANNED
2026-09-15T06:49:59.411Z,BTC,BTC_1000_P71,0,400000000000000000,4010624dd2f1a9fbe6,Colab Node (wrk_c16045c300e2ed2fbdc39414c15ebda5),PRUNED_SCANNED
2026-09-15T06:50:01.880Z,BTC,BTC_1000_P71,1,4010624dd2f1a9fbe7,4020c49ba5e353f7cd,Colab Node (wrk_c16045c300e2ed2fbdc39414c15ebda5),PRUNED_SCANNED
2026-09-15T06:50:01.889Z,BTC,puzzle_btc_71,1,,,Pool Externa,PRUNED_SCANNED
2026-09-15T06:50:01.889Z,BTC,puzzle_btc_71,2,,,Pool Externa,PRUNED_SCANNED
2026-09-15T06:50:01.889Z,BTC,puzzle_btc_71,3,,,Pool Externa,PRUNED_SCANNED
2026-09-15T06:50:01.889Z,BTC,puzzle_btc_71,4,,,Pool Externa,PRUNED_SCANNED
2026-09-15T06:50:01.889Z,BTC,puzzle_btc_71,5,,,Pool Externa,PRUNED_SCANNED
2026-09-15T06:50:01.889Z,BTC,puzzle_btc_71,6,,,Pool Externa,PRUNED_SCANNED
2026-09-15T06:50:01.889Z,BTC,puzzle_btc_71,7,,,Pool Externa,PRUNED_SCANNED
2026-09-15T06:50:01.889Z,BTC,puzzle_btc_71,8,,,Pool Externa,PRUNED_SCANNED
2026-09-15T06:50:01.889Z,BTC,puzzle_btc_71,9,,,Pool Externa,PRUNED_SCANNED
2026-09-15T06:50:01.889Z,BTC,puzzle_btc_71,10,,,Pool Externa,PRUNED_SCANNED
2026-09-15T06:50:02.635Z,BTC,puzzle_btc_71,1001,,,Colab Node Test,PRUNED_SCANNED
2026-09-15T06:50:02.635Z,BTC,puzzle_btc_71,1002,,,Colab Node Test,PRUNED_SCANNED
2026-09-15T06:50:02.635Z,BTC,puzzle_btc_71,1003,,,Colab Node Test,PRUNED_SCANNED
2026-09-15T06:50:02.635Z,BTC,puzzle_btc_71,1004,,,Colab Node Test,PRUNED_SCANNED
2026-09-15T06:50:02.635Z,BTC,puzzle_btc_71,1005,,,Colab Node Test,PRUNED_SCANNED
